subject_id,subject_name,subject_city,subject_state,subject_year,subject_units,subject_program,rank,comp_id,comp_name,comp_city,comp_state,comp_year,comp_units,comp_program,score
20,Colonial Estates,Thibodaux,LA,1975,107.0,Section 8/HUD,1,42,Thomasville Church Homes,Thomasville,NC,1975,100.0,Section 8/HUD,88.69
20,Colonial Estates,Thibodaux,LA,1975,107.0,Section 8/HUD,2,9,Walnut Hill,Natchez,MS,1975,168.0,Section 8/HUD,82.74
20,Colonial Estates,Thibodaux,LA,1975,107.0,Section 8/HUD,3,8,Village Green,Natchez,MS,1977,80.0,Section 8/HUD,76.95
21,Marrero 3,Harvey,LA,1968,173.0,Section 8/HUD,1,17,Gates on Manhattan,Harvey,LA,1968,276.0,Section 8/HUD,92.54
21,Marrero 3,Harvey,LA,1968,173.0,Section 8/HUD,2,4,Macedonia Garden,Panama City,FL,1969,100.0,Section 8/HUD,77.56
21,Marrero 3,Harvey,LA,1968,173.0,Section 8/HUD,3,3,Opa Locka 135th St,Opa Locka,FL,1968,65.0,Section 8/HUD,77.51
22,Arbor Crest,Quincy,FL,1995,120.0,LIHTC,1,23,Windsor/Yorkshire,Shreveport,LA,1998,134.0,LIHTC,80.91
22,Arbor Crest,Quincy,FL,1995,120.0,LIHTC,2,26,St. Charles Place,Lake Charles,LA,1995,121.0,Layered HUD/LIHTC,79.83
22,Arbor Crest,Quincy,FL,1995,120.0,LIHTC,3,39,River Garden,Sonora,CA,1995,123.0,Section 8/HUD,74.51
23,Windsor/Yorkshire,Shreveport,LA,1998,134.0,LIHTC,1,18,Ruby Diamond,Marrero,LA,2000,73.0,LIHTC,82.9
23,Windsor/Yorkshire,Shreveport,LA,1998,134.0,LIHTC,2,34,Pacific Pointe,Stockton,CA,1998,80.0,LIHTC,81.94
23,Windsor/Yorkshire,Shreveport,LA,1998,134.0,LIHTC,3,35,Granite Ridge,Stockton,CA,1998,80.0,LIHTC,81.94
24,North Pointe,Bossier City,LA,2000,27.0,LIHTC,1,19,Star Homes,Marrero,LA,2000,48.0,LIHTC,91.25
24,North Pointe,Bossier City,LA,2000,27.0,LIHTC,2,25,Granite Bayou,Baton Rouge,LA,2000,60.0,LIHTC,89.0
24,North Pointe,Bossier City,LA,2000,27.0,LIHTC,3,18,Ruby Diamond,Marrero,LA,2000,73.0,LIHTC,87.4
25,Granite Bayou,Baton Rouge,LA,2000,60.0,LIHTC,1,18,Ruby Diamond,Marrero,LA,2000,73.0,LIHTC,96.44
25,Granite Bayou,Baton Rouge,LA,2000,60.0,LIHTC,2,19,Star Homes,Marrero,LA,2000,48.0,LIHTC,96.0
25,Granite Bayou,Baton Rouge,LA,2000,60.0,LIHTC,3,37,Forest View Senior,Sonora,CA,2000,60.0,LIHTC,90.0
26,St. Charles Place,Lake Charles,LA,1995,121.0,Layered HUD/LIHTC,1,22,Arbor Crest,Quincy,FL,1995,120.0,LIHTC,79.83
26,St. Charles Place,Lake Charles,LA,1995,121.0,Layered HUD/LIHTC,2,23,Windsor/Yorkshire,Shreveport,LA,1998,134.0,LIHTC,71.06
26,St. Charles Place,Lake Charles,LA,1995,121.0,Layered HUD/LIHTC,3,14,Grove Park Terrace,Waxahachie,TX,1998,60.0,Layered HUD/LIHTC,67.92
27,Pelican Bay,Baton Rouge,LA,2001,152.0,Section 8/HUD,1,28,Howell Place,Baton Rouge,LA,2001,48.0,Section 8/HUD,86.32
27,Pelican Bay,Baton Rouge,LA,2001,152.0,Section 8/HUD,2,29,Pirates Bend,Baton Rouge,LA,2001,48.0,Section 8/HUD,86.32
27,Pelican Bay,Baton Rouge,LA,2001,152.0,Section 8/HUD,3,5,Coral Village,Cape Coral,FL,1999,72.0,Section 8/HUD,71.47
28,Howell Place,Baton Rouge,LA,2001,48.0,Section 8/HUD,1,29,Pirates Bend,Baton Rouge,LA,2001,48.0,Section 8/HUD,100.0
28,Howell Place,Baton Rouge,LA,2001,48.0,Section 8/HUD,2,27,Pelican Bay,Baton Rouge,LA,2001,152.0,Section 8/HUD,86.32
28,Howell Place,Baton Rouge,LA,2001,48.0,Section 8/HUD,3,19,Star Homes,Marrero,LA,2000,48.0,LIHTC,81.0
29,Pirates Bend,Baton Rouge,LA,2001,48.0,Section 8/HUD,1,28,Howell Place,Baton Rouge,LA,2001,48.0,Section 8/HUD,100.0
29,Pirates Bend,Baton Rouge,LA,2001,48.0,Section 8/HUD,2,27,Pelican Bay,Baton Rouge,LA,2001,152.0,Section 8/HUD,86.32
29,Pirates Bend,Baton Rouge,LA,2001,48.0,Section 8/HUD,3,19,Star Homes,Marrero,LA,2000,48.0,LIHTC,81.0
30,Anaheim,Anaheim,CA,1980,80.0,Section 8/HUD,1,8,Village Green,Natchez,MS,1977,80.0,Section 8/HUD,78.0
